Well,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events FSC-A Median,All Events FSC-W Mean,All Events FSC-W Median,All Events SSC-A Mean,All Events SSC-A Median,All Events CD33 640 670/30-A Mean,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Mean,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Mean,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Mean,All Events CD90 561 582/15-A Median,All Events CD49f 561 670/14-A Mean,All Events CD49f 561 670/14-A Median,All Events CD38 561 780/60-A Mean,All Events CD38 561 780/60-A Median,All Events Lineage 488 530/30-A Mean,All Events Lineage 488 530/30-A Median,All Events CD7_CD10 V405 450/50-A Mean,All Events CD7_CD10 V405 450/50-A Median,All Events Live V405 525/50-A Mean,All Events Live V405 525/50-A Median,All Events CD45 V405 780/60-A Mean,All Events CD45 V405 780/60-A Median,All Events Time Mean,All Events Time Median,Cells #Events,Cells %Parent,Cells FSC-A Mean,Cells FSC-A Median,Cells FSC-W Mean,Cells FSC-W Median,Cells SSC-A Mean,Cells SSC-A Median,Cells CD33 640 670/30-A Mean,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Mean,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Mean,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Mean,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Mean,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Mean,Cells CD38 561 780/60-A Median,Cells Lineage 488 530/30-A Mean,Cells Lineage 488 530/30-A Median,Cells CD7_CD10 V405 450/50-A Mean,Cells CD7_CD10 V405 450/50-A Median,Cells Live V405 525/50-A Mean,Cells Live V405 525/50-A Median,Cells CD45 V405 780/60-A Mean,Cells CD45 V405 780/60-A Median,Cells Time Mean,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Mean,Singlets FSC-A Median,Singlets FSC-W Mean,Singlets FSC-W Median,Singlets SSC-A Mean,Singlets SSC-A Median,Singlets CD33 640 670/30-A Mean,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Mean,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Mean,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Mean,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Mean,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Mean,Singlets CD38 561 780/60-A Median,Singlets Lineage 488 530/30-A Mean,Singlets Lineage 488 530/30-A Median,Singlets CD7_CD10 V405 450/50-A Mean,Singlets CD7_CD10 V405 450/50-A Median,Singlets Live V405 525/50-A Mean,Singlets Live V405 525/50-A Median,Singlets CD45 V405 780/60-A Mean,Singlets CD45 V405 780/60-A Median,Singlets Time Mean,Singlets Time Median,Live #Events,Live %Parent,Live FSC-A Mean,Live FSC-A Median,Live FSC-W Mean,Live FSC-W Median,Live SSC-A Mean,Live SSC-A Median,Live CD33 640 670/30-A Mean,Live CD33 640 670/30-A Median,Live CD45RA 640 730/45-A Mean,Live CD45RA 640 730/45-A Median,Live CD34 640 780/60-A Mean,Live CD34 640 780/60-A Median,Live CD90 561 582/15-A Mean,Live CD90 561 582/15-A Median,Live CD49f 561 670/14-A Mean,Live CD49f 561 670/14-A Median,Live CD38 561 780/60-A Mean,Live CD38 561 780/60-A Median,Live Lineage 488 530/30-A Mean,Live Lineage 488 530/30-A Median,Live CD7_CD10 V405 450/50-A Mean,Live CD7_CD10 V405 450/50-A Median,Live Live V405 525/50-A Mean,Live Live V405 525/50-A Median,Live CD45 V405 780/60-A Mean,Live CD45 V405 780/60-A Median,Live Time Mean,Live Time Median,Lin- #Events,Lin- %Parent,Lin- FSC-A Mean,Lin- FSC-A Median,Lin- FSC-W Mean,Lin- FSC-W Median,Lin- SSC-A Mean,Lin- SSC-A Median,Lin- CD33 640 670/30-A Mean,Lin- CD33 640 670/30-A Median,Lin- CD45RA 640 730/45-A Mean,Lin- CD45RA 640 730/45-A Median,Lin- CD34 640 780/60-A Mean,Lin- CD34 640 780/60-A Median,Lin- CD90 561 582/15-A Mean,Lin- CD90 561 582/15-A Median,Lin- CD49f 561 670/14-A Mean,Lin- CD49f 561 670/14-A Median,Lin- CD38 561 780/60-A Mean,Lin- CD38 561 780/60-A Median,Lin- Lineage 488 530/30-A Mean,Lin- Lineage 488 530/30-A Median,Lin- CD7_CD10 V405 450/50-A Mean,Lin- CD7_CD10 V405 450/50-A Median,Lin- Live V405 525/50-A Mean,Lin- Live V405 525/50-A Median,Lin- CD45 V405 780/60-A Mean,Lin- CD45 V405 780/60-A Median,Lin- Time Mean,Lin- Time Median,CD33- #Events,CD33- %Parent,CD33- FSC-A Mean,CD33- FSC-A Median,CD33- FSC-W Mean,CD33- FSC-W Median,CD33- SSC-A Mean,CD33- SSC-A Median,CD33- CD33 640 670/30-A Mean,CD33- CD33 640 670/30-A Median,CD33- CD45RA 640 730/45-A Mean,CD33- CD45RA 640 730/45-A Median,CD33- CD34 640 780/60-A Mean,CD33- CD34 640 780/60-A Median,CD33- CD90 561 582/15-A Mean,CD33- CD90 561 582/15-A Median,CD33- CD49f 561 670/14-A Mean,CD33- CD49f 561 670/14-A Median,CD33- CD38 561 780/60-A Mean,CD33- CD38 561 780/60-A Median,CD33- Lineage 488 530/30-A Mean,CD33- Lineage 488 530/30-A Median,CD33- CD7_CD10 V405 450/50-A Mean,CD33- CD7_CD10 V405 450/50-A Median,CD33- Live V405 525/50-A Mean,CD33- Live V405 525/50-A Median,CD33- CD45 V405 780/60-A Mean,CD33- CD45 V405 780/60-A Median,CD33- Time Mean,CD33- Time Median,CD34+/CD45+ #Events,CD34+/CD45+ %Parent,CD34+/CD45+ FSC-A Mean,CD34+/CD45+ FSC-A Median,CD34+/CD45+ FSC-W Mean,CD34+/CD45+ FSC-W Median,CD34+/CD45+ SSC-A Mean,CD34+/CD45+ SSC-A Median,CD34+/CD45+ CD33 640 670/30-A Mean,CD34+/CD45+ CD33 640 670/30-A Median,CD34+/CD45+ CD45RA 640 730/45-A Mean,CD34+/CD45+ CD45RA 640 730/45-A Median,CD34+/CD45+ CD34 640 780/60-A Mean,CD34+/CD45+ CD34 640 780/60-A Median,CD34+/CD45+ CD90 561 582/15-A Mean,CD34+/CD45+ CD90 561 582/15-A Median,CD34+/CD45+ CD49f 561 670/14-A Mean,CD34+/CD45+ CD49f 561 670/14-A Median,CD34+/CD45+ CD38 561 780/60-A Mean,CD34+/CD45+ CD38 561 780/60-A Median,CD34+/CD45+ Lineage 488 530/30-A Mean,CD34+/CD45+ Lineage 488 530/30-A Median,CD34+/CD45+ CD7_CD10 V405 450/50-A Mean,CD34+/CD45+ CD7_CD10 V405 450/50-A Median,CD34+/CD45+ Live V405 525/50-A Mean,CD34+/CD45+ Live V405 525/50-A Median,CD34+/CD45+ CD45 V405 780/60-A Mean,CD34+/CD45+ CD45 V405 780/60-A Median,CD34+/CD45+ Time Mean,CD34+/CD45+ Time Median,CD34+/CD38- #Events,CD34+/CD38- %Parent,CD34+/CD38- FSC-A Mean,CD34+/CD38- FSC-A Median,CD34+/CD38- FSC-W Mean,CD34+/CD38- FSC-W Median,CD34+/CD38- SSC-A Mean,CD34+/CD38- SSC-A Median,CD34+/CD38- CD33 640 670/30-A Mean,CD34+/CD38- CD33 640 670/30-A Median,CD34+/CD38- CD45RA 640 730/45-A Mean,CD34+/CD38- CD45RA 640 730/45-A Median,CD34+/CD38- CD34 640 780/60-A Mean,CD34+/CD38- CD34 640 780/60-A Median,CD34+/CD38- CD90 561 582/15-A Mean,CD34+/CD38- CD90 561 582/15-A Median,CD34+/CD38- CD49f 561 670/14-A Mean,CD34+/CD38- CD49f 561 670/14-A Median,CD34+/CD38- CD38 561 780/60-A Mean,CD34+/CD38- CD38 561 780/60-A Median,CD34+/CD38- Lineage 488 530/30-A Mean,CD34+/CD38- Lineage 488 530/30-A Median,CD34+/CD38- CD7_CD10 V405 450/50-A Mean,CD34+/CD38- CD7_CD10 V405 450/50-A Median,CD34+/CD38- Live V405 525/50-A Mean,CD34+/CD38- Live V405 525/50-A Median,CD34+/CD38- CD45 V405 780/60-A Mean,CD34+/CD38- CD45 V405 780/60-A Median,CD34+/CD38- Time Mean,CD34+/CD38- Time Median,CD90+ HSC #Events,CD90+ HSC %Parent,CD90+ HSC FSC-A Mean,CD90+ HSC FSC-A Median,CD90+ HSC FSC-W Mean,CD90+ HSC FSC-W Median,CD90+ HSC SSC-A Mean,CD90+ HSC SSC-A Median,CD90+ HSC CD33 640 670/30-A Mean,CD90+ HSC CD33 640 670/30-A Median,CD90+ HSC CD45RA 640 730/45-A Mean,CD90+ HSC CD45RA 640 730/45-A Median,CD90+ HSC CD34 640 780/60-A Mean,CD90+ HSC CD34 640 780/60-A Median,CD90+ HSC CD90 561 582/15-A Mean,CD90+ HSC CD90 561 582/15-A Median,CD90+ HSC CD49f 561 670/14-A Mean,CD90+ HSC CD49f 561 670/14-A Median,CD90+ HSC CD38 561 780/60-A Mean,CD90+ HSC CD38 561 780/60-A Median,CD90+ HSC Lineage 488 530/30-A Mean,CD90+ HSC Lineage 488 530/30-A Median,CD90+ HSC CD7_CD10 V405 450/50-A Mean,CD90+ HSC CD7_CD10 V405 450/50-A Median,CD90+ HSC Live V405 525/50-A Mean,CD90+ HSC Live V405 525/50-A Median,CD90+ HSC CD45 V405 780/60-A Mean,CD90+ HSC CD45 V405 780/60-A Median,CD90+ HSC Time Mean,CD90+ HSC Time Median
A1,1,,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852",1,100,"136,272","136,272","95,285","95,285","91,756","91,756",94,94,127,127,"3,968","3,968",838,838,962,962,869,869,87,87,"1,047","1,047",554,554,"1,380","1,380","1,852","1,852"
A2,1,,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147",1,100,"122,852","122,852","93,806","93,806","119,156","119,156",411,411,82,82,"3,204","3,204",570,570,"2,418","2,418",155,155,253,253,-17,-17,486,486,793,793,"2,147","2,147"
A3,1,,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360",1,100,"76,262","76,262","86,688","86,688","111,327","111,327",13,13,32,32,"4,172","4,172","7,108","7,108","2,890","2,890",313,313,234,234,5,5,414,414,"1,845","1,845","2,360","2,360"
A4,1,,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263",1,100,"150,124","150,124","90,245","90,245","69,709","69,709",31,31,38,38,"4,217","4,217","1,779","1,779","1,160","1,160",514,514,181,181,15,15,447,447,"1,349","1,349","5,263","5,263"
A5,1,,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751",1,100,"114,985","114,985","90,668","90,668","111,623","111,623",6,6,121,121,"5,246","5,246",155,155,"1,466","1,466",788,788,112,112,136,136,369,369,"1,376","1,376","5,751","5,751"
A6,1,,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613",1,100,"122,910","122,910","94,121","94,121","76,756","76,756",142,142,116,116,"3,163","3,163","1,683","1,683","1,626","1,626",918,918,180,180,0,0,539,539,"2,085","2,085","6,613","6,613"
A7,1,,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836",1,100,"122,031","122,031","91,652","91,652","81,837","81,837",180,180,153,153,"2,604","2,604","15,225","15,225",804,804,802,802,206,206,6,6,648,648,"1,637","1,637","8,836","8,836"
A8,1,,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199",1,100,"139,366","139,366","89,334","89,334","97,061","97,061",185,185,85,85,"3,217","3,217","2,105","2,105",415,415,501,501,201,201,47,47,539,539,"1,651","1,651","9,199","9,199"
A9,1,,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471",1,100,"119,297","119,297","94,160","94,160","135,486","135,486",56,56,204,204,"6,609","6,609",342,342,"1,603","1,603",798,798,210,210,14,14,344,344,"1,984","1,984","11,471","11,471"
A10,1,,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884",1,100,"123,835","123,835","93,245","93,245","96,350","96,350",111,111,-18,-18,"4,358","4,358",450,450,"1,611","1,611",185,185,154,154,28,28,445,445,"1,951","1,951","11,884","11,884"
