Well,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events FSC-A Median,All Events FSC-W Mean,All Events FSC-W Median,All Events SSC-A Mean,All Events SSC-A Median,All Events CD33 640 670/30-A Mean,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Mean,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Mean,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Mean,All Events CD90 561 582/15-A Median,All Events CD49f 561 670/14-A Mean,All Events CD49f 561 670/14-A Median,All Events CD38 561 780/60-A Mean,All Events CD38 561 780/60-A Median,All Events Lineage 488 530/30-A Mean,All Events Lineage 488 530/30-A Median,All Events CD7_CD10 V405 450/50-A Mean,All Events CD7_CD10 V405 450/50-A Median,All Events Live V405 525/50-A Mean,All Events Live V405 525/50-A Median,All Events CD45 V405 780/60-A Mean,All Events CD45 V405 780/60-A Median,All Events Time Mean,All Events Time Median,Cells #Events,Cells %Parent,Cells FSC-A Mean,Cells FSC-A Median,Cells FSC-W Mean,Cells FSC-W Median,Cells SSC-A Mean,Cells SSC-A Median,Cells CD33 640 670/30-A Mean,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Mean,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Mean,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Mean,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Mean,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Mean,Cells CD38 561 780/60-A Median,Cells Lineage 488 530/30-A Mean,Cells Lineage 488 530/30-A Median,Cells CD7_CD10 V405 450/50-A Mean,Cells CD7_CD10 V405 450/50-A Median,Cells Live V405 525/50-A Mean,Cells Live V405 525/50-A Median,Cells CD45 V405 780/60-A Mean,Cells CD45 V405 780/60-A Median,Cells Time Mean,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Mean,Singlets FSC-A Median,Singlets FSC-W Mean,Singlets FSC-W Median,Singlets SSC-A Mean,Singlets SSC-A Median,Singlets CD33 640 670/30-A Mean,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Mean,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Mean,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Mean,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Mean,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Mean,Singlets CD38 561 780/60-A Median,Singlets Lineage 488 530/30-A Mean,Singlets Lineage 488 530/30-A Median,Singlets CD7_CD10 V405 450/50-A Mean,Singlets CD7_CD10 V405 450/50-A Median,Singlets Live V405 525/50-A Mean,Singlets Live V405 525/50-A Median,Singlets CD45 V405 780/60-A Mean,Singlets CD45 V405 780/60-A Median,Singlets Time Mean,Singlets Time Median,Live #Events,Live %Parent,Live FSC-A Mean,Live FSC-A Median,Live FSC-W Mean,Live FSC-W Median,Live SSC-A Mean,Live SSC-A Median,Live CD33 640 670/30-A Mean,Live CD33 640 670/30-A Median,Live CD45RA 640 730/45-A Mean,Live CD45RA 640 730/45-A Median,Live CD34 640 780/60-A Mean,Live CD34 640 780/60-A Median,Live CD90 561 582/15-A Mean,Live CD90 561 582/15-A Median,Live CD49f 561 670/14-A Mean,Live CD49f 561 670/14-A Median,Live CD38 561 780/60-A Mean,Live CD38 561 780/60-A Median,Live Lineage 488 530/30-A Mean,Live Lineage 488 530/30-A Median,Live CD7_CD10 V405 450/50-A Mean,Live CD7_CD10 V405 450/50-A Median,Live Live V405 525/50-A Mean,Live Live V405 525/50-A Median,Live CD45 V405 780/60-A Mean,Live CD45 V405 780/60-A Median,Live Time Mean,Live Time Median,Lin- #Events,Lin- %Parent,Lin- FSC-A Mean,Lin- FSC-A Median,Lin- FSC-W Mean,Lin- FSC-W Median,Lin- SSC-A Mean,Lin- SSC-A Median,Lin- CD33 640 670/30-A Mean,Lin- CD33 640 670/30-A Median,Lin- CD45RA 640 730/45-A Mean,Lin- CD45RA 640 730/45-A Median,Lin- CD34 640 780/60-A Mean,Lin- CD34 640 780/60-A Median,Lin- CD90 561 582/15-A Mean,Lin- CD90 561 582/15-A Median,Lin- CD49f 561 670/14-A Mean,Lin- CD49f 561 670/14-A Median,Lin- CD38 561 780/60-A Mean,Lin- CD38 561 780/60-A Median,Lin- Lineage 488 530/30-A Mean,Lin- Lineage 488 530/30-A Median,Lin- CD7_CD10 V405 450/50-A Mean,Lin- CD7_CD10 V405 450/50-A Median,Lin- Live V405 525/50-A Mean,Lin- Live V405 525/50-A Median,Lin- CD45 V405 780/60-A Mean,Lin- CD45 V405 780/60-A Median,Lin- Time Mean,Lin- Time Median,CD33- #Events,CD33- %Parent,CD33- FSC-A Mean,CD33- FSC-A Median,CD33- FSC-W Mean,CD33- FSC-W Median,CD33- SSC-A Mean,CD33- SSC-A Median,CD33- CD33 640 670/30-A Mean,CD33- CD33 640 670/30-A Median,CD33- CD45RA 640 730/45-A Mean,CD33- CD45RA 640 730/45-A Median,CD33- CD34 640 780/60-A Mean,CD33- CD34 640 780/60-A Median,CD33- CD90 561 582/15-A Mean,CD33- CD90 561 582/15-A Median,CD33- CD49f 561 670/14-A Mean,CD33- CD49f 561 670/14-A Median,CD33- CD38 561 780/60-A Mean,CD33- CD38 561 780/60-A Median,CD33- Lineage 488 530/30-A Mean,CD33- Lineage 488 530/30-A Median,CD33- CD7_CD10 V405 450/50-A Mean,CD33- CD7_CD10 V405 450/50-A Median,CD33- Live V405 525/50-A Mean,CD33- Live V405 525/50-A Median,CD33- CD45 V405 780/60-A Mean,CD33- CD45 V405 780/60-A Median,CD33- Time Mean,CD33- Time Median,CD34+/CD45+ #Events,CD34+/CD45+ %Parent,CD34+/CD45+ FSC-A Mean,CD34+/CD45+ FSC-A Median,CD34+/CD45+ FSC-W Mean,CD34+/CD45+ FSC-W Median,CD34+/CD45+ SSC-A Mean,CD34+/CD45+ SSC-A Median,CD34+/CD45+ CD33 640 670/30-A Mean,CD34+/CD45+ CD33 640 670/30-A Median,CD34+/CD45+ CD45RA 640 730/45-A Mean,CD34+/CD45+ CD45RA 640 730/45-A Median,CD34+/CD45+ CD34 640 780/60-A Mean,CD34+/CD45+ CD34 640 780/60-A Median,CD34+/CD45+ CD90 561 582/15-A Mean,CD34+/CD45+ CD90 561 582/15-A Median,CD34+/CD45+ CD49f 561 670/14-A Mean,CD34+/CD45+ CD49f 561 670/14-A Median,CD34+/CD45+ CD38 561 780/60-A Mean,CD34+/CD45+ CD38 561 780/60-A Median,CD34+/CD45+ Lineage 488 530/30-A Mean,CD34+/CD45+ Lineage 488 530/30-A Median,CD34+/CD45+ CD7_CD10 V405 450/50-A Mean,CD34+/CD45+ CD7_CD10 V405 450/50-A Median,CD34+/CD45+ Live V405 525/50-A Mean,CD34+/CD45+ Live V405 525/50-A Median,CD34+/CD45+ CD45 V405 780/60-A Mean,CD34+/CD45+ CD45 V405 780/60-A Median,CD34+/CD45+ Time Mean,CD34+/CD45+ Time Median,CD34+/CD38- #Events,CD34+/CD38- %Parent,CD34+/CD38- FSC-A Mean,CD34+/CD38- FSC-A Median,CD34+/CD38- FSC-W Mean,CD34+/CD38- FSC-W Median,CD34+/CD38- SSC-A Mean,CD34+/CD38- SSC-A Median,CD34+/CD38- CD33 640 670/30-A Mean,CD34+/CD38- CD33 640 670/30-A Median,CD34+/CD38- CD45RA 640 730/45-A Mean,CD34+/CD38- CD45RA 640 730/45-A Median,CD34+/CD38- CD34 640 780/60-A Mean,CD34+/CD38- CD34 640 780/60-A Median,CD34+/CD38- CD90 561 582/15-A Mean,CD34+/CD38- CD90 561 582/15-A Median,CD34+/CD38- CD49f 561 670/14-A Mean,CD34+/CD38- CD49f 561 670/14-A Median,CD34+/CD38- CD38 561 780/60-A Mean,CD34+/CD38- CD38 561 780/60-A Median,CD34+/CD38- Lineage 488 530/30-A Mean,CD34+/CD38- Lineage 488 530/30-A Median,CD34+/CD38- CD7_CD10 V405 450/50-A Mean,CD34+/CD38- CD7_CD10 V405 450/50-A Median,CD34+/CD38- Live V405 525/50-A Mean,CD34+/CD38- Live V405 525/50-A Median,CD34+/CD38- CD45 V405 780/60-A Mean,CD34+/CD38- CD45 V405 780/60-A Median,CD34+/CD38- Time Mean,CD34+/CD38- Time Median,CD90+ HSC #Events,CD90+ HSC %Parent,CD90+ HSC FSC-A Mean,CD90+ HSC FSC-A Median,CD90+ HSC FSC-W Mean,CD90+ HSC FSC-W Median,CD90+ HSC SSC-A Mean,CD90+ HSC SSC-A Median,CD90+ HSC CD33 640 670/30-A Mean,CD90+ HSC CD33 640 670/30-A Median,CD90+ HSC CD45RA 640 730/45-A Mean,CD90+ HSC CD45RA 640 730/45-A Median,CD90+ HSC CD34 640 780/60-A Mean,CD90+ HSC CD34 640 780/60-A Median,CD90+ HSC CD90 561 582/15-A Mean,CD90+ HSC CD90 561 582/15-A Median,CD90+ HSC CD49f 561 670/14-A Mean,CD90+ HSC CD49f 561 670/14-A Median,CD90+ HSC CD38 561 780/60-A Mean,CD90+ HSC CD38 561 780/60-A Median,CD90+ HSC Lineage 488 530/30-A Mean,CD90+ HSC Lineage 488 530/30-A Median,CD90+ HSC CD7_CD10 V405 450/50-A Mean,CD90+ HSC CD7_CD10 V405 450/50-A Median,CD90+ HSC Live V405 525/50-A Mean,CD90+ HSC Live V405 525/50-A Median,CD90+ HSC CD45 V405 780/60-A Mean,CD90+ HSC CD45 V405 780/60-A Median,CD90+ HSC Time Mean,CD90+ HSC Time Median
A1,1,,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522",1,100,"155,622","155,622","90,577","90,577","104,733","104,733",55,55,33,33,"3,669","3,669","3,959","3,959","2,065","2,065",40,40,173,173,54,54,519,519,"1,894","1,894","3,522","3,522"
A2,1,,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784",1,100,"137,092","137,092","91,115","91,115","73,718","73,718",30,30,122,122,"3,826","3,826",238,238,324,324,394,394,104,104,29,29,266,266,"1,151","1,151","3,784","3,784"
A3,1,,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073",1,100,"135,847","135,847","92,559","92,559","84,471","84,471",-49,-49,63,63,"2,734","2,734","2,124","2,124","1,134","1,134",702,702,109,109,74,74,421,421,"2,171","2,171","4,073","4,073"
A4,1,,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334",1,100,"131,611","131,611","84,408","84,408","61,891","61,891",11,11,80,80,"3,889","3,889",878,878,"1,352","1,352",561,561,144,144,27,27,286,286,"1,491","1,491","4,334","4,334"
A5,1,,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824",1,100,"116,021","116,021","88,714","88,714","78,302","78,302",5,5,178,178,"2,994","2,994","7,197","7,197","1,147","1,147",256,256,241,241,53,53,447,447,"1,687","1,687","4,824","4,824"
A6,1,,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235",1,100,"163,356","163,356","97,314","97,314","93,164","93,164",216,216,263,263,"4,654","4,654","2,362","2,362","1,005","1,005",701,701,84,84,52,52,323,323,"1,236","1,236","6,235","6,235"
A7,1,,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419",1,100,"162,869","162,869","94,838","94,838","93,578","93,578",115,115,246,246,"2,642","2,642","1,235","1,235",815,815,403,403,199,199,51,51,418,418,"2,054","2,054","6,419","6,419"
A8,1,,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352",1,100,"178,235","178,235","98,725","98,725","66,841","66,841",257,257,138,138,"3,596","3,596","2,528","2,528",891,891,498,498,166,166,107,107,382,382,"2,598","2,598","7,352","7,352"
A9,1,,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891",1,100,"138,937","138,937","90,166","90,166","66,095","66,095",-119,-119,44,44,"3,567","3,567","2,258","2,258","1,156","1,156",590,590,119,119,74,74,278,278,"1,322","1,322","7,891","7,891"
A10,1,,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381",1,100,"148,204","148,204","90,148","90,148","57,783","57,783",19,19,132,132,"2,716","2,716",413,413,898,898,854,854,126,126,41,41,263,263,"1,382","1,382","8,381","8,381"
