Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
A1,1004.200012,55585.17188,87578.54688,10406.82031,1127.609985,243.2100067,1234.140015,215.0999908,1953,665.0999756,8.56000042,216.4799957,312.4199829,1642.459961
A2,1382.699951,68613.53906,90124.20313,14779.91113,1081.380005,289.4400024,2181.52002,153,1010.699951,1098,-12.84000015,212.3800049,328.8200073,1972.099976
A3,2782.100098,59091.26953,89699.71094,8577.120117,1510.850098,422.7700195,2716.850098,22.5,2276.099854,1406.699951,3.210000038,295.2000122,403.4400024,3305.419922
A4,3152.300049,61193.07031,93207.57813,20426.30078,761.1199951,197.6500092,1291.090088,240.2999878,1177.199951,801,16.05000114,186.9599915,212.3800049,1388.26001
A5,3724.699951,58041.30078,86449.875,12498.6709,768.4899902,213.0600128,1323.920044,158.3999939,1145.699951,587.7000122,39.59000015,195.9799957,275.519989,1530.119995
A6,4310.799805,59873.40234,87735.08594,9398.880859,529.9700317,140.0299988,753.0800171,137.6999969,629.0999756,504,26.75000191,116.4400024,262.3999939,984
A7,4520.100098,68182.02344,89652.63281,11775.35059,1700.460083,391.2799988,2245.840088,270.8999939,3281.399902,1250.099976,-11.77000046,232.8800049,296.8399963,2344.379883
A8,4841.399902,59487.44922,88984.05469,13000.50098,1380.869995,274.0299988,1599.290039,80.09999847,1979.099976,815.3999634,42.80000305,364.8999939,351.7799988,3217.679932
A9,5109.5,66016.04688,92973.46875,13444.55078,1922.900024,400.6600037,2118.540039,315,3230.099854,1211.400024,7.490000248,336.2000122,444.4400024,3722.800049
A10,5410.5,48501.35938,85029.82813,8066.730469,980.210022,261.9700012,1746.02002,151.1999969,1319.400024,807.2999878,5.350000381,232.8800049,201.7200012,2356.679932
A11,5882.399902,61328.85156,89346.39844,12262.2002,1122.920044,271.3500061,1649.540039,199.7999878,1714.5,1016.099976,12.84000015,189.4199982,219.7599945,1676.900024
A12,6402.100098,57217.32031,94632.03906,16363.51074,659.9500122,193.6300049,1452.560059,1.799999952,422.0999756,633.5999756,40.66000366,291.9199829,259.1199951,2127.899902
B1,7505.899902,69142.71094,92996.27344,14991.77051,2085.709961,509.2000122,2695.410156,295.1999817,3461.399902,1536.299927,42.80000305,432.1399841,543.6599731,3766.26001
B2,8285,68493.57031,94640.40625,13556.90039,1200.640015,297.480011,1825.080078,117,2088.899902,1009.799988,26.75000191,186.1399994,278.7999878,1763
