Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
A1,792.2000122,60544.85938,87844.94531,10521.31055,396.6400146,134.6699982,972.1700439,120.5999985,217.7999878,653.3999634,2.140000105,118.0800018,123.8199997,1266.900024
A2,1018.5,54045.08984,88505.4375,13768.76074,1693.090088,412.0500183,2405.300049,107.0999985,2934.899902,1359.900024,14.9800005,635.5,810.9799805,3484.179932
A3,1247.900024,56706.75,84731.73438,13027.25098,1400.300049,273.3600159,1573.160034,136.8000031,2267.099854,967.5,42.80000305,275.519989,466.5799866,2036.880005
A4,1481.800049,57420.99219,90208.60938,10916.14063,1189.25,330.980011,2418.699951,9.899999619,1330.199951,1119.599976,0,322.2600098,295.2000122,2906.080078
A5,2007.599976,66508.02344,90438.21094,13599.7002,1029.790039,314.8999939,1908.830078,85.5,1714.5,954.8999634,33.17000198,288.6399841,391.1399841,2649.419922
A6,2222.5,46447.92188,83162.88281,9002.980469,706.8500366,215.7400055,1431.790039,459.8999939,687.5999756,804.5999756,25.68000031,219.7599945,271.4199829,2057.379883
A7,2539.600098,53482.44141,85777.13281,10863.71094,594.2900391,179.5599976,1078.030029,67.5,646.2000122,546.2999878,19.26000023,143.5,250.0999908,1427.619995
A8,2752,62948.91016,87819.72656,12345.66016,1374.170044,403.3399963,2625.060059,96.29999542,1782.899902,1221.299927,-3.210000038,323.0799866,309.1399841,3662.939941
A9,2999.199951,74705.96875,98563.21094,13620.03027,1404.320068,304.8500061,1717.880005,368.0999756,2839.5,947.6999512,4.28000021,260.7600098,366.5400085,1683.459961
A10,3322,53797.71094,86792.55469,16184.82031,847.5500488,198.3200073,1236.820068,90,1018.799988,765,18.19000053,221.3999939,452.6399841,1444.839966
A11,3644.300049,62269.08203,88225.42188,11937.99023,1103.48999,299.4900208,1770.140015,77.40000153,1149.299927,871.1999512,29.96000099,467.3999939,402.6199951,2862.619873
A12,3918.5,56089.23047,85706.44531,11061.66016,1024.430054,285.4200134,1660.930054,117,1523.699951,817.1999512,-1.070000052,282.0799866,192.6999969,2623.179932
B1,4196.700195,64655.46094,87368,10794.16016,1094.109985,264.6499939,1721.230103,2592.899902,1621.799927,1086.299927,-19.26000023,328,277.980011,2896.23999
B2,4435.299805,56847.17969,88314.25,10731.03027,1600.630005,317.5800171,1751.380005,96.29999542,3163.5,1021.5,34.24000168,350.1399841,422.2999878,3226.699951
B3,4655.5,65540.82031,88065.01563,10553.41016,797.3000488,243.2100067,1627.430054,122.3999939,1047.599976,832.5,0,260.7600098,273.0599976,2318.959961
B4,4917.399902,62937.75,97873.63281,22521.36133,837.5,230.480011,1498.790039,312.2999878,848.6999512,828,10.70000076,199.2599945,369,1526.839966
B5,5350.600098,68987.39844,93244.75,11384.80078,910.5300293,273.3600159,1959.75,42.29999924,965.6999512,1067.400024,25.68000031,309.9599915,296.8399963,2921.659912
