Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
A1,604.5,50884.94922,84592.25781,8933.430664,1124.930054,202.3400116,1122.920044,79.19999695,2408.399902,599.3999634,0,108.2399979,200.0800018,992.2000122
A2,1033.699951,58591.85938,86759.21094,11195.41016,1065.300049,326.960022,2061.590088,1400.399902,1244.699951,1073.699951,51.36000061,330.4599915,246.8199921,3636.699951
A3,1259.300049,62128.65234,87874.46875,13257.30078,1106.840088,288.1000061,1849.200073,293.3999939,1470.599976,899.0999756,23.54000092,299.2999878,331.2799988,2635.47998
A4,1523.599976,62472.75,90921.91406,9679.220703,1255.580078,361.8000183,2377.160156,41.39999771,1701.899902,1134,46.01000214,414.1000061,479.6999817,4049.97998
A5,1745.5,73519.28906,93956.04688,12227.96094,1099.469971,318.9200134,2310.160156,297,963,1188.900024,20.33000183,257.480011,412.4599915,2389.47998
A6,1955.400024,64670.33984,88614.10938,11180.43066,1059.27002,289.4400024,1772.820068,239.3999939,1169.099976,909,3.210000038,246.8199921,296.019989,2053.280029
A7,2208.399902,71740.20313,100240.1953,22958.99023,2187.550049,369.8399963,1151.72998,52.19999695,1787.399902,778.5,44.94000244,695.3599854,496.1000061,4018.820068
A8,2485.899902,62850.33203,87024.55469,12283.60059,1110.190063,324.2799988,2040.820068,201.5999908,2039.399902,991.7999878,6.420000076,350.1399841,350.9599915,3234.080078
A9,2744.199951,76317.66406,95204.24219,14953.25098,1262.950073,304.8500061,1898.110107,145.8000031,1980,1017.899963,60.99000168,300.1199951,405.8999939,2168.080078
A10,3077.600098,63701.28125,87509.47656,22452.88086,1573.830078,391.9500122,2279.340088,295.1999817,2172.599854,1098.900024,68.48000336,530.539978,707.6599731,3555.52002
A11,3391.800049,61940.78906,89918.08594,11371.96094,1155.75,318.9200134,2355.719971,790.1999512,1271.699951,1189.799927,-16.05000114,283.7200012,276.3399963,3039.73999
A12,3622.100098,56958.78125,85189.89063,8792.19043,960.7800293,229.8100128,1293.099976,224.0999908,1557.899902,719.0999756,17.12000084,270.6000061,291.9199829,2389.47998
B1,3821.399902,49988.42969,86553.28125,13899.30078,912.5400391,276.710022,1491.420044,114.2999954,1129.5,838.7999878,21.40000153,234.5200043,318.980011,1630.160034
B2,4043.100098,66382.46875,89011.59375,13377.14063,1314.540039,377.210022,2556.050049,736.1999512,1985.399902,1370.699951,11.77000046,244.3600006,289.4599915,3148.800049
B3,4254.899902,64386.69141,95052.07031,17647.51172,1798.950073,444.8800049,2653.870117,465.2999878,2723.399902,1278,41.73000336,396.8800049,572.3599854,2974.959961
B4,4535.299805,58195.67969,91478.26563,11441.51074,1989.900024,481.0599976,3103.440186,167.3999939,2923.199951,1508.399902,36.38000107,359.1600037,329.6399841,4192.660156
B5,4750.600098,61433.94141,89336.64844,11359.12012,977.5300293,268,1640.830078,14.39999962,1270.799927,905.3999634,42.80000305,172.1999969,236.1600037,2000.799927
B6,5120.399902,53731.67969,84156.47656,7845.240234,798.6400146,232.4900055,1515.540039,94.5,950.3999634,656.0999756,23.54000092,218.9400024,270.6000061,1375.140015
B7,5533.899902,67526.36719,90231.58594,12505.09082,1398.960083,386.5899963,2271.300049,495.8999939,1525.5,1229.400024,46.01000214,394.4199829,417.3800049,3479.26001
B8,6022.5,69456.11719,93427.39844,13653.2002,899.1400146,245.2200012,1528.27002,46.79999924,1468.799927,785.6999512,33.17000198,256.6600037,609.2600098,1922.900024
B9,6256.399902,78617.54688,100024.8359,13854.36035,1415.710083,356.4400024,1955.060059,297.8999939,2223.899902,1193.400024,26.75000191,359.980011,341.9400024,3089.76001
B10,6482.299805,62207.69922,96694.75,13721.68066,888.4200439,186.2600098,1266.300049,681.2999878,1828.799927,879.2999878,7.490000248,215.6600037,183.6799927,1984.400024
B11,6688.200195,56563.53125,87558.10156,10565.18066,1350.720093,329.6400146,1774.830078,103.5,2655.899902,935.0999756,47.08000183,271.4199829,357.519989,2378
B12,7171.100098,58188.24219,84850.25,10788.81055,1261.609985,369.1700134,2535.280029,57.59999847,1495.799927,1111.5,20.33000183,320.6199951,294.3800049,2467.379883
C1,7425.799805,50660.82031,87654.96875,11834.2002,1041.849976,211.7200012,1413.700073,143.0999908,1445.399902,837,5.350000381,433.7799988,538.7399902,4141.819824
C2,7696.700195,57678.60156,84258.94531,8138.42041,533.3200073,159.4600067,1108.180054,154.8000031,885.5999756,657.8999634,17.12000084,181.2200012,163.1799927,1369.400024
C3,7906.200195,67422.21094,94391.96094,12316.77051,899.1400146,233.8300018,1488.070068,184.5,1629.899902,785.6999512,0,231.2400055,305.0400085,2941.340088
C4,8164,62087.73047,86838.28125,10052.65039,1012.369995,229.1399994,1386.22998,277.1999817,1890,725.3999634,29.96000099,199.2599945,255.8399963,1623.599976
C5,8427.299805,65751,90270.40625,12572.50098,2019.380005,382.5700073,2394.580078,485.0999756,3411.899902,1247.400024,36.38000107,313.2399902,436.2399902,3847.439941
C6,8665.599609,58115.69922,86083.32813,8939.850586,954.0800171,260.6300049,1248.210083,472.5,1854,835.1999512,24.61000061,266.5,285.3599854,2228.76001
C7,8955.700195,46055.46094,85720.10156,8321.390625,809.3600464,263.980011,1844.51001,137.6999969,633.5999756,993.5999756,-2.140000105,236.9799957,331.2799988,2433.76001
C8,9247.299805,61142.85156,87202.85156,10339.41016,1645.52002,358.4500122,1971.140015,1522.799927,2688.300049,1090.799927,-6.420000076,384.5799866,385.3999939,3086.47998
C9,9573.299805,55159.23047,86243.95313,8547.160156,771.8400269,196.980011,1097.460083,236.6999969,1204.199951,656.0999756,34.24000168,246,236.1600037,1281.660034
C10,9833.099609,64831.23047,89697.25781,8997.630859,911.2000122,273.3600159,1628.77002,178.1999969,1529.099976,839.6999512,26.75000191,298.480011,387.8599854,2372.26001
C11,10163.2998,55056,86663.54688,10793.09082,1138.330078,373.8600159,2610.98999,42.29999924,1215,1220.400024,21.40000153,244.3600006,249.2799988,3193.080078
C12,10389.40039,61566.92969,88555.41406,11612.71094,1246.200073,262.6400146,1421.73999,261,2801.699951,762.2999878,7.490000248,300.9400024,350.1399841,2904.439941
D1,10938,72472.10938,93981.28125,13698.14063,855.5900269,249.2400055,1425.76001,285.2999878,1423.799927,974.6999512,29.96000099,250.9199982,391.9599915,1712.97998
D2,11224.59961,62040.30078,90218.42188,15515.00098,1068.650024,259.9599915,1457.920044,473.3999939,2142.899902,882,34.24000168,224.6799927,292.7399902,2027.859985
D3,11516.7998,60595.08203,86776.64063,10220.64063,752.4100342,205.6900024,1360.099976,280.7999878,954,799.1999512,53.50000381,260.7600098,215.6600037,2421.459961
D4,11814,53444.30859,89889.03906,10383.28027,885.7400513,255.9400024,1691.75,120.5999985,1251,904.5,0,459.1999817,359.980011,4463.259766
D5,12073.40039,66306.21094,94756.63281,12684.85059,1261.609985,367.1600037,2349.689941,119.6999969,1209.599976,1123.199951,19.26000023,337.019989,437.8800049,2201.699951
D6,12374.5,63937.5,90468.03125,12020.38086,1384.220093,300.1600037,1725.25,914.3999634,2174.399902,998.0999756,4.28000021,300.9400024,243.5399933,2782.26001
D7,12658.59961,58792.74219,88569.54688,11516.41016,645.210022,226.4600067,1335.310059,99,433.7999878,759.5999756,12.84000015,129.5599976,243.5399933,938.0800171
D8,13077.90039,52479.90234,84181.58594,12516.86035,1366.800049,327.6300049,2154.050049,351,2078.099854,1016.099976,24.61000061,410,319.7999878,3672.780029
D9,13385,59897.58203,87514.16406,11764.65039,1206,269.3399963,1658.920044,626.3999634,2214.899902,892.7999878,25.68000031,264.0400085,421.480011,2609.23999
D10,13629.7998,75875.91406,94237,15839.21094,1328.609985,279.3900146,1625.420044,93.59999847,2698.199951,950.3999634,25.68000031,314.8800049,592.8599854,2883.939941
D11,13826,72569.75781,92719.07031,12361.71094,854.25,247.9000092,1516.880005,41.39999771,1001.699951,955.7999878,20.33000183,251.7399902,394.4199829,2086.899902
D12,14047.7998,72778.07813,94202.84375,15385.53027,1561.100098,347.730011,2005.980103,108.8999939,2864.699951,1234.799927,33.17000198,287.8200073,351.7799988,2516.580078
