Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
A1,687.2000122,66038.36719,91061.72656,12878.52051,1671.650024,442.8700256,2890.380127,520.2000122,2518.199951,1541.699951,54.57000351,368.1799927,370.6399841,3381.679932
A2,1900,73528.59375,94548.71875,11450.07031,564.1400146,174.8700104,1109.52002,261,527.3999634,664.2000122,9.630000114,246.8199921,314.8800049,2154.139893
A3,2262.100098,65568.71875,89127.65625,11074.50098,918.5700073,271.3500061,1906.150024,166.5,983.6999512,1147.5,48.15000153,392.7799988,450.1799927,3502.219971
A4,2659.199951,63153.51172,89110.54688,10630.4502,773.8500366,182.2400055,1150.390015,496.7999878,999,743.3999634,24.61000061,253.3800049,264.0400085,2132.820068
A5,3033.600098,51031.89063,84293.4375,13302.24023,875.0200195,265.3200073,1753.390015,671.3999634,1068.299927,974.6999512,40.66000366,253.3800049,250.9199982,2445.23999
A6,3538.600098,52478.03906,86758.67969,10336.2002,1744.680054,340.3600159,1901.460083,245.6999969,3950.099854,863.0999756,31.03000069,187.7799988,337.8399963,2619.080078
A7,4006.100098,50258.12891,86845.875,10117.9209,1033.140015,294.8000183,1963.100098,143.0999908,1312.199951,913.5,27.8200016,216.4799957,298.480011,2021.299927
A8,4350.899902,65830.04688,91792.28906,12148.78027,1693.090088,338.3500061,1974.48999,308.6999817,3064.5,1170,18.19000053,302.5799866,381.2999878,2222.199951
A9,4567.299805,58246.83203,88399.42969,8219.740234,1260.940063,224.4500122,1255.580078,134.0999908,3033,861.2999878,7.490000248,152.5200043,243.5399933,1503.059937
A10,4774.399902,64661.03906,89348.60938,12619.58105,965.4700317,274.7000122,1941.660034,947.6999512,1169.099976,1143.900024,44.94000244,290.2799988,341.9400024,2254.179932
A11,5125.100098,64244.40234,89062.09375,11230.7207,869.6600342,296.1400146,2137.300049,512.0999756,658.7999878,937.7999878,18.19000053,357.519989,400.1600037,3969.619873
A12,5480.700195,43939.71094,84286.05469,8358.84082,1037.830078,277.3800049,1536.310059,759.5999756,1413.899902,901.7999878,20.33000183,272.2399902,314.0599976,2492.800049
B1,5771.200195,59428.85938,89987.05469,14585.1709,787.9200439,231.8200073,1299.130005,129.5999908,846.8999634,546.2999878,10.70000076,218.1199951,290.2799988,1741.679932
B2,6389.5,51680.10156,84113.32031,9728.44043,1370.150024,340.3600159,1924.23999,153.8999939,2079,879.2999878,31.03000069,420.6600037,326.3599854,2508.379883
B3,6794.200195,65449.67969,88647.75781,11556.00098,1310.52002,381.230011,2382.52002,122.3999939,1170,1212.299927,26.75000191,439.519989,332.9199829,3444.820068
B4,7195.100098,59684.60938,87509.30469,14378.66113,1030.460083,270.0100098,1836.470093,105.2999954,949.5,1056.599976,10.70000076,147.6000061,209.9199982,1763
B5,7446.299805,58391.91016,89339.59375,12726.58105,547.3900146,166.8300018,1231.460083,126,557.0999756,800.0999756,4.28000021,121.3600006,198.4400024,1273.459961
B6,8135,69990.86719,94355.85938,13203.80078,1080.040039,308.2000122,1985.880005,179.0999908,1728.899902,1042.199951,25.68000031,272.2399902,356.6999817,2113.139893
B7,8436.799805,49371.83984,85325.625,10286.98047,753.75,205.6900024,1214.710083,90.8999939,914.3999634,588.5999756,-7.490000248,307.5,393.6000061,2234.5
B8,8770.900391,60815.49219,87101.8125,11970.09082,781.2200317,243.8800049,1652.220093,32.39999771,561.5999756,933.2999878,26.75000191,208.2799988,254.1999969,1889.280029
B9,9108.900391,58802.96875,86151.10938,10722.4707,1145.030029,264.6499939,1771.480103,57.59999847,1396.799927,886.5,8.56000042,389.5,341.1199951,4023.73999
B10,9451.099609,58944.33203,87820.85156,10147.88086,540.0200195,195.6399994,1260.940063,91.79999542,559.7999878,768.5999756,18.19000053,173.0200043,258.2999878,1397.280029
B11,9671.599609,55905.08984,85073.97656,8694.820313,844.8699951,219.7600098,1432.460083,59.39999771,833.3999634,711,11.77000046,153.3399963,218.1199951,1400.559937
B12,9948.400391,59343.30078,87049.78125,10600.49023,1109.52002,247.9000092,1743.340088,242.0999908,1499.399902,950.3999634,25.68000031,255.8399963,337.8399963,1858.119995
C1,10163.59961,61459.98047,90174.86719,13151.37109,1509.51001,342.3699951,1932.280029,722.6999512,2493,1080,25.68000031,224.6799927,266.5,2353.399902
