"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"1_A1","AML2","LEUK37_Plate1_A1_A01_001.fcs",33064,33054,33040,15852,1,0.00631,0,0,NA,NA,5106,32.2,11308,34.2,34.2,1910,4380,172608,52096,11303,34.2,34.2,1910,4380,172608,52096,1,139584,31872,179328,38848,2064,5235,139584,78528,"TRUE"
"1_A2","AML2","LEUK37_Plate1_A2_A02_002.fcs",69573,69524,69505,60321,41165,68.2,14169,23.5,168832,36416,2764,4.58,7682,11,11.1,5713,3379,183488,71232,6730,9.68,9.68,6093,3420,185024,74432,0,166464,32256,165888,34880,807,23151,167040,33344,"TRUE"
"1_A3","AML2","LEUK37_Plate1_A3_A03_003.fcs",791,790,783,454,13,2.86,3,0.66,135616,33216,393,86.6,17,2.15,2.17,1104,5774,242176,64640,17,2.15,2.17,1104,5774,242176,64640,0,177280,41280,189888,38016,823,15135,177280,41280,"TRUE"
"1_A4","AML2","LEUK37_Plate1_A4_A04_004.fcs",21677,8163,8146,6855,2069,30.2,202,2.95,211008,47232,221,3.22,286,3.5,3.51,2177,5191,195584,81216,223,2.73,2.74,2466,4997,188928,91072,1085,187456,36224,164544,38336,700,13924,188928,37376,"TRUE"
"1_A5","AML2","LEUK37_Plate1_A5_A05_005.fcs",1729,998,835,626,4,0.64,0,0,NA,NA,57,9.11,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,45,130240,84736,137344,32064,1084,4721,130240,99776,"TRUE"
"1_A6","AML2","LEUK37_Plate1_A6_A06_006.fcs",25722,25111,25098,12626,28,0.22,1,0.00792,76224,42816,5613,44.5,9148,36.4,36.4,2064,2815,198720,77888,9141,36.4,36.4,2064,2815,198720,77824,14,129984,85504,156864,40128,1475,4263,140288,113216,"TRUE"
"1_A7","AML2","LEUK37_Plate1_A7_A07_007.fcs",2040,2037,1955,335,0,0,2,0.6,119872,85888,18,5.37,1501,73.7,76.8,2739,3831,207808,103232,1475,72.4,75.4,2723,3878,208384,102656,0,NA,NA,160128,59200,3107,8993,132736,107200,"TRUE"
"1_A8","AML2","LEUK37_Plate1_A8_A08_008.fcs",11042,11040,11039,8125,5354,65.9,2598,32,169664,34816,25,0.31,1114,10.1,10.1,1576,6631,178368,40192,148,1.34,1.34,1555,9322,182080,41088,0,169024,31424,170752,30272,890,17045,169088,32512,"TRUE"
"1_A9","AML2","LEUK37_Plate1_A9_A09_009.fcs",22637,18316,18287,16626,4803,28.9,2927,17.6,157952,35008,246,1.48,1079,5.89,5.9,3831,3305,171200,70528,729,3.98,3.99,3967,3831,165312,71168,33,160192,31232,144320,34496,970,20813,160256,33216,"TRUE"
"1_A10","AML2","LEUK37_Plate1_A10_A10_010.fcs",8088,8022,8018,2230,32,1.43,4,0.18,144704,128384,1132,50.8,4812,60,60,3504,3816,193152,76992,4768,59.4,59.5,3483,3855,192832,76608,0,171392,40704,141888,40704,2414,5556,169664,127104,"TRUE"
